lat,lon,x,y,faa,height
-68.1814308,-61.7680741,-2113220.77,1134615.54,-5.72,504.2
-68.1697273,-61.9454629,-2117885.69,1128686.95,-1.29,504.5
-68.1579384,-62.12157,-2122517.57,1122792.34,0.83,505.62
-68.1462129,-62.2952042,-2127078.73,1116968.43,1.26,506.02
-68.1343932,-62.4672515,-2131602.75,1111191.14,4.8,503.7
-68.1224427,-62.6378371,-2136096.16,1105458.03,2.43,505.4
-68.1103743,-62.8076285,-2140570.92,1099743.77,3.81,507.24
-68.0981814,-62.9772667,-2145040.17,1094024.82,3.1,505.53
-68.0856912,-63.1478271,-2149541.73,1088269.58,3.91,506.72
-68.0728531,-63.3201218,-2154095.83,1082449.64,8.59,506.66
-68.0598756,-63.4932365,-2158663.86,1076588.28,7.13,508.17
-68.0464269,-63.6668381,-2163272.82,1070714.37,2.38,508.32
-68.0328619,-63.8405747,-2167880.31,1064823.1,-0.18,508.62
-68.0192549,-64.0138571,-2172467.87,1058933.05,0.52,506.55
-68.005411,-64.1861375,-2177045.27,1053074.7,5.02,507.39
-67.9914384,-64.3573964,-2181601.53,1047243.59,8.49,507.94
-67.9774921,-64.5277165,-2186122.7,1041429.22,11.02,506.79
-67.9632461,-64.6967824,-2190636.47,1035659.63,5.16,508.46
-67.9491027,-64.8658244,-2195124.39,1029868.5,-1.82,508.42
-67.9344907,-65.0358696,-2199663.04,1024043.69,-5.38,510.73
-67.9196213,-65.2067013,-2204226.8,1018182.94,-14.24,512.46
-67.9045926,-65.3781762,-2208802.9,1012286.78,-18.26,510.2
-67.2538753,-66.0909291,-2288298.62,1014467.82,108.6,2489.42
